,ar-0,ar-1,ar-2,ar-3,pr-0,pr-1,pr-2,pr-3,class-0-latency,class-1-bw,class-2-bw
345,5,2,30,21,70,59,100,84,1.574983,5431.925059500002,4009.4351765000006
346,17,21,7,24,82,85,57,92,1.5801349999999998,7292.972803249994,1997.6818554999986
347,56,10,2,10,92,94,58,31,1.594099,8016.226290249996,2425.282001750001
348,26,17,17,0,86,61,100,73,1.610396,5718.748570000002,5116.8155667500005
349,0,22,3,27,99,89,92,99,1.616001,7264.5401972499985,1630.56612
350,21,13,25,26,88,96,94,100,1.5884619999999998,6244.214771499999,3023.2894420000007
351,22,19,19,9,72,94,91,98,1.5998890000000001,7868.6225445,2700.432536999999
352,1,31,33,28,21,94,83,96,1.660946,5623.694657749993,3436.875344000002
353,15,19,7,19,86,95,82,66,1.5865969999999998,7885.6921202500025,1759.1297622499985
354,12,6,22,16,68,53,99,92,1.5849449999999998,5023.498533750002,4652.794602000001
355,27,20,3,27,90,66,63,96,1.5853039999999998,5384.3605527499985,3558.8479029999994
356,10,30,12,39,99,92,37,96,1.5873979999999999,6559.30280625,1745.9273325000001
357,16,39,12,12,41,94,26,60,1.584541,8038.386105500005,2023.8673677500012
358,32,28,0,7,99,69,34,32,1.5939969999999999,5727.732182500001,3482.552768499999
359,2,3,50,39,68,61,99,78,1.641922,3854.1960755000005,4364.231824999999
360,8,27,17,15,77,100,58,72,1.585616,7630.710604500002,2486.5663054999986
361,11,30,6,33,95,88,72,99,1.5953979999999999,7070.560454500006,1444.9214930000003
362,10,11,19,34,64,60,74,98,1.5692949999999999,5506.927967250001,3130.6195257500012
363,20,33,22,0,99,88,71,55,1.606135,7598.426341250004,3647.019863749997
364,3,25,0,30,42,98,28,98,1.611987,7831.509115500001,734.2553122500005
365,22,15,27,18,95,94,99,86,1.589937,6259.855030500003,3479.3400727500034
366,30,2,37,17,83,58,95,82,1.59205,5373.944042000003,4233.734608500003
367,37,9,30,5,84,52,98,97,1.609668,5058.162214250002,5318.9587592499975
368,24,7,28,31,75,85,78,97,1.575121,5823.911433000004,3054.8882482499976
369,5,33,21,23,67,90,77,67,1.595854,6651.597021500005,2801.1786955000002
370,32,14,32,10,98,67,91,75,1.5802619999999998,6011.29055075,4382.313490999998
371,12,10,24,26,71,76,98,100,1.587422,5976.0797025,3169.83699575
372,29,19,13,23,97,79,71,88,1.581898,6359.925272500002,2985.917329749999
373,4,28,14,25,27,100,96,95,1.590566,7119.797469000006,2132.031917499999
374,17,1,22,14,79,87,99,75,1.583805,7077.448368000003,3036.525250000001
375,9,32,9,32,42,79,37,79,1.585413,6622.978446250003,1976.1919970000006
376,1,30,33,29,4,87,95,89,12.121308,5751.253364999998,3374.749423749999
377,14,51,8,2,71,69,91,10,1.6043859999999999,6283.4703935000025,4688.06982075
378,13,22,24,4,69,62,69,95,1.584344,5818.440911499996,4769.288299499998
379,21,37,1,15,47,86,27,86,1.579399,7211.170196249993,2331.7122480000003
380,25,17,23,24,66,100,80,68,1.5749469999999999,6372.865442999998,2992.5704020000016
381,14,14,4,24,60,69,18,98,1.5814110000000001,6089.001896000001,2092.3352219999997
382,14,5,8,28,94,21,62,99,1.6109300000000002,2682.907582000001,4842.826127749998
383,14,24,16,23,76,94,76,92,1.585364,7019.9859125,2380.6405062500003
384,12,1,21,17,66,44,90,100,1.589972,4469.597340000002,4967.34499975
385,0,36,30,27,56,98,88,87,1.6662270000000001,5848.962069,3315.80281275
386,28,21,26,2,91,87,74,11,1.608758,7311.296465999993,3738.574980000001
387,27,32,22,15,70,87,58,41,1.579122,7046.574355250004,2961.1825932499996
388,8,71,4,9,22,99,23,35,1.6065369999999999,7781.966922750006,1995.6099992499987
389,5,22,25,12,96,74,94,42,1.5921669999999999,6378.971338999999,3863.028289999998
390,4,29,9,55,82,99,100,100,1.618125,5855.947733999999,1319.451333250001
391,23,26,2,3,66,64,27,84,1.5727229999999999,5778.712036000001,2772.129772749997
392,9,15,22,15,91,92,86,86,1.5822669999999999,7329.523563249998,2804.0182582499992
393,5,22,14,30,43,70,28,72,1.584345,5953.209402250001,2503.1888479999993
394,42,16,0,39,94,83,93,97,1.595348,7068.289519250004,919.5339675000002
395,20,15,19,11,76,98,52,52,1.5942500000000002,7511.463165000002,2709.100247500001
396,21,57,12,2,74,94,88,55,1.607197,7897.462843750005,3113.4176232500017
397,16,31,1,16,57,100,15,68,1.608887,8121.935127249996,1121.1109162500009
398,19,18,21,1,53,70,63,41,1.599148,6209.274529999992,4426.614048000001
399,34,44,17,2,88,100,93,71,1.602962,8468.23811775,2615.820168250001
400,26,8,9,30,84,78,93,93,1.6053959999999998,6238.414048999997,2530.8847410000017
401,17,11,14,13,84,94,94,95,1.584952,7760.362628749997,2423.6178389999995
402,11,13,20,37,32,99,88,100,1.58202,5995.063783000004,2515.991925749999
403,30,23,18,6,83,81,85,85,1.59522,7051.612139000001,3671.1800102499997
404,17,19,28,12,86,100,98,49,1.59971,6858.0460555,3412.326575250002
405,5,32,9,10,100,100,27,90,1.605718,8276.646134749995,1795.20845525
406,3,25,45,22,41,93,83,77,1.631806,5252.671242499997,4132.087229749997
407,8,21,21,9,78,90,63,48,1.598891,7500.588896249996,3024.0881442500004
408,21,3,8,46,100,33,66,80,1.590663,3751.47104425,3861.9244092499953
409,15,25,14,6,71,95,49,79,1.596772,7958.226204500001,2695.51158025
410,11,19,35,13,41,93,98,70,1.605013,6248.538497750005,3905.900717000001
411,4,26,0,27,72,68,40,90,1.5873059999999999,5919.833185750001,2953.6283009999984
412,30,20,3,4,98,91,84,28,1.605601,7562.754154249998,3309.3571675
413,21,4,33,33,73,86,91,91,1.569316,5390.260220999997,3343.667984250001
414,19,29,19,19,69,100,81,97,1.5929039999999999,6923.444269499999,2815.0093552499984
415,25,22,21,13,60,39,91,61,1.6002489999999998,4180.738927250002,5014.41955525
416,12,33,3,4,77,88,30,59,1.591106,7482.080460749997,2860.1574894999985
417,10,14,9,16,99,82,79,95,1.591937,6800.924541250006,3147.771356749998
418,17,23,3,7,86,99,67,60,1.6034869999999999,8348.261119499997,2275.577783500001
419,14,21,23,20,92,90,92,86,1.589405,6678.159235250004,2998.2364184999997
420,4,30,24,12,30,85,83,80,1.603049,7137.024402499999,3164.056538749999
421,13,20,12,12,92,98,84,100,1.589972,8175.277710000009,2097.405193000001
422,14,15,3,17,91,95,23,99,1.592883,8020.77770475,1509.0072160000009
423,15,7,13,15,90,69,100,99,1.57732,6165.298223999999,3787.0192517499986
424,13,3,20,21,93,60,99,100,1.5914549999999998,5328.8781685,4078.8388257499973
425,2,6,30,23,97,54,97,82,1.5943429999999998,5098.304748,4096.48656575
426,24,16,7,4,97,81,77,79,1.599964,6894.322633499994,3972.64242125
427,17,5,25,1,70,51,67,76,1.61605,5075.949430500005,4773.410558499999
428,12,21,16,28,51,88,54,72,1.586141,6670.948268000008,2338.950633750001
429,4,27,24,26,63,81,100,88,1.588146,6293.512583749998,2944.45634025
430,34,3,7,34,71,65,59,73,1.578436,5428.25341275,3062.8645402500006
431,18,13,25,16,80,97,100,74,1.593748,6562.449931250004,3303.697108
432,6,6,20,30,21,88,66,98,1.5848550000000001,6285.7735172500015,2648.9555832499987
433,22,22,21,22,85,82,91,82,1.577989,6605.854034999991,2879.2297857500007
434,20,8,6,16,97,79,61,82,1.584501,6695.555447500001,3210.250138250001
435,27,14,33,1,61,35,78,18,1.6034169999999999,4114.087822249999,5385.280848
436,7,3,33,38,49,47,96,70,1.5811250000000001,4628.44371575,3710.7253084999975
437,8,15,15,16,69,92,93,100,1.5910980000000001,7306.011914749999,2620.780467500001
438,8,25,2,30,75,94,64,97,1.600562,7506.346703750004,1125.0817774999996
439,3,22,3,34,13,89,33,100,1.717711,7290.972472749997,1094.8765265000009
440,37,13,8,13,100,100,40,64,1.5982859999999999,8488.157985749996,1620.3737262499997
441,12,25,3,20,70,93,80,68,1.591835,7913.299799000006,1616.6996945000005
442,18,8,41,20,78,47,95,49,1.587501,4718.0330775,4476.6843332499975
443,1,15,11,22,69,72,92,97,1.594709,6041.2836082500025,3356.1825734999957
444,44,11,14,18,98,72,70,65,1.5877430000000001,6003.065107750004,3614.7534842500004
445,19,30,9,5,85,99,67,99,1.610455,8246.986866499992,2515.1121602499998
446,18,32,7,13,93,57,21,40,1.586392,5485.498905249996,2620.732785000002
447,9,14,18,12,77,85,92,67,1.5880839999999998,7127.151490749997,3172.4286082500025
448,13,3,18,48,55,99,28,97,1.584808,5606.316326,2152.9245392499993
449,10,1,44,4,71,87,76,27,1.613655,6308.643814500005,4404.500722499998
450,11,27,24,10,51,97,41,38,1.587317,7258.621455000002,2977.081538000001
451,13,14,14,13,90,86,79,78,1.581014,7326.028348500001,2913.439274750001
452,23,20,11,2,68,73,55,89,1.588734,6475.553512500002,4213.675260500002
453,13,29,25,0,87,98,94,56,1.608528,8114.44044075,3143.1901472499985
454,2,17,18,17,23,92,100,91,1.616909,6975.54468825,2862.4320025000006
455,0,26,7,14,14,98,95,65,1.694722,7752.8226394999965,2190.324067999999
456,9,28,31,25,23,82,60,96,1.6021429999999999,5846.345425749993,3391.2265292499997
457,16,18,13,0,95,100,80,30,1.6182409999999998,8304.27169675,2817.746401249999
458,1,21,35,24,100,76,99,69,1.61816,5670.132636749997,3618.124721
459,24,23,21,10,87,94,81,46,1.59571,7582.256794000002,2856.9805620000006
460,30,10,3,16,82,97,63,73,1.596922,7805.021999750001,1989.6781437499988
461,34,27,0,0,93,98,68,79,1.6251470000000001,8054.9097040000015,3025.8703237499976
462,20,17,4,19,85,46,65,52,1.592378,4709.483384250001,4493.665696249998
463,17,10,14,26,54,83,63,80,1.573655,6968.859434750004,2221.0311905000003
464,2,18,21,20,51,92,98,100,1.598766,6745.439769250004,2934.9076752499996
465,22,16,16,33,65,64,67,98,1.575838,5536.963938250001,3098.07300575
466,7,21,2,29,97,97,48,89,1.605436,7412.770985000003,1233.1914884999997
467,21,9,27,26,77,85,91,83,1.595411,5879.595279249995,3275.5434505
468,3,22,9,16,18,95,86,95,1.598097,7912.89448850001,1996.1619372500006
469,5,19,19,21,90,95,75,86,1.582723,6970.682144249992,2665.8809195000017
470,0,32,20,31,81,82,99,94,1.640469,6313.832999250006,2617.1815410000004
471,18,6,39,35,48,97,91,97,1.5757539999999999,5038.890835749996,3550.6713379999987
472,7,32,13,12,53,97,64,67,1.610332,7864.576578000006,2320.0988745000004
473,0,36,39,3,65,96,89,43,1.653567,6909.660099750002,4143.8519942500025
474,2,14,21,17,38,68,74,81,1.590786,5972.830056999998,3753.7550934999986
475,14,38,37,7,87,59,64,61,1.596161,5507.614610499996,4654.737711000003
476,23,16,16,33,87,81,69,99,1.583988,6405.4811004999965,2277.2490980000002
477,32,12,29,17,94,44,86,67,1.590283,4494.937657500005,4856.270551250002
478,21,19,2,8,98,92,23,65,1.5977800000000002,7833.156585750002,2221.680880000001
479,10,45,5,38,100,94,28,99,1.613645,6799.029111750001,1231.3246725000001
480,26,24,27,20,92,100,93,79,1.576432,6451.336148000006,3242.8443445000016
481,15,33,21,29,60,96,65,84,1.594481,6207.888128749998,2756.351232000002
482,40,8,28,1,93,65,84,13,1.6056650000000001,5937.963725000007,4942.9976925
483,11,18,26,23,71,83,89,68,1.601224,6090.806722749995,3290.8856865000002
484,11,22,44,13,77,53,97,50,1.585325,5037.416219500002,4863.625763999999
485,26,1,31,26,91,13,95,87,1.6190229999999999,1840.4555352500001,5880.656242249999
486,5,34,15,32,43,80,72,81,1.605166,6408.191920750013,2316.265106249999
487,29,25,8,12,84,97,96,72,1.595612,8066.169022750002,2175.4527092499998
488,19,16,22,31,72,42,76,88,1.577194,4457.564352250003,4199.717042999999
489,2,9,48,26,86,37,98,60,1.640445,4082.340002499998,4652.587175749997
490,31,11,20,19,100,100,81,85,1.5846230000000001,7013.869285999996,2749.1283427500002
491,17,20,43,0,38,55,49,90,1.5909559999999998,5237.261055249997,4139.733315749999
492,24,9,18,9,94,38,67,83,1.595022,4116.2753107499975,4990.031717749998
493,22,8,14,19,95,81,51,58,1.580973,6719.379425499997,2896.6319555000005
494,25,1,21,24,100,83,74,95,1.585449,6465.3897245,2844.8355174999997
495,8,20,25,17,85,77,92,68,1.5838670000000001,6359.0872317499925,3484.294412499999
496,13,6,25,15,95,100,89,89,1.5836869999999998,6847.960947749997,3178.3616565000016
497,15,11,3,24,93,78,40,79,1.586741,6497.616767499998,2585.748433749999
498,8,23,13,4,44,98,82,61,1.6067779999999998,8337.450027749996,2608.3672039999988
499,11,20,20,0,54,90,79,46,1.609779,7755.842207250005,3504.5278069999995
500,16,5,18,39,62,52,73,100,1.573956,4979.933499500002,3320.071695499999
501,8,31,21,31,58,99,79,99,1.584505,6074.808837000007,2740.7383925000004
502,4,41,20,6,21,68,37,17,1.605192,5870.304107749999,3734.8294254999996
503,27,6,9,51,69,74,98,84,1.586735,5913.012029499995,1550.0688554999997
505,18,42,22,16,67,100,78,81,1.590315,6983.196735249995,2987.9999182500005
507,54,3,15,10,91,43,85,14,1.612416,4563.7440689999985,5422.992708000001
508,23,21,2,33,73,84,5,97,1.6103480000000001,7137.770649249999,767.53258625
509,8,28,19,28,50,100,82,85,1.580546,6518.522503250006,2561.852932499998
511,4,3,29,34,94,62,89,64,1.594396,5422.635076249997,3190.7594207500033
512,14,15,13,14,86,85,91,79,1.58921,7159.583568249991,3022.9032054999993
513,5,59,5,5,29,95,65,75,1.611611,7996.2205900000035,2832.7715372499993
515,31,27,25,8,99,84,85,63,1.5900050000000001,7167.094944249997,3435.33396825
516,24,19,52,1,79,50,92,95,1.6337700000000002,4983.1807579999995,5475.194455250002
517,47,24,1,2,82,81,58,38,1.600217,6829.594372000005,4027.576446000001
518,40,4,6,3,93,51,74,69,1.612849,5064.036846749994,4888.911247499998
519,5,21,21,24,25,71,40,78,1.600559,6007.090805749996,3010.094166499999
520,20,5,17,18,95,42,75,83,1.6102569999999998,4282.631871749994,5001.3208387500035
521,35,5,15,10,100,39,67,33,1.600854,4345.039130999997,4903.57041525
522,19,28,26,16,69,99,91,61,1.5963859999999999,6557.426451249997,3357.7799799999993
523,0,15,15,38,76,48,46,70,1.6067230000000001,4806.613924249992,3397.3896502500006
524,16,23,25,0,94,87,75,77,1.6055570000000001,7259.954212999998,3922.011853749999
526,8,3,19,18,50,66,70,86,1.579192,5758.837460500002,3882.600070500001
527,9,39,36,10,75,78,82,59,1.588431,6546.561718000005,3928.676843999999
530,1,47,9,30,73,95,53,71,1.65277,7057.201862249996,1724.461317000001
532,0,7,64,27,47,9,80,39,1.755258,1989.4778684999992,5609.543324250005
533,52,20,15,10,89,68,35,78,1.5762070000000001,5832.102297749999,3318.2692525000016
534,5,17,32,26,84,81,86,81,1.580614,5830.602645250002,3411.289452000001
535,14,28,11,7,68,99,74,50,1.613334,8005.5904384999985,2508.4948522499985
536,22,13,5,9,88,69,59,95,1.59444,5965.30914125,4151.998758249996
537,29,13,12,0,100,76,42,63,1.5852629999999999,6676.205396749998,3862.2903830000014
538,36,18,33,7,99,74,100,44,1.5855100000000002,6559.6091747499995,4058.4123145000017
539,19,12,14,19,98,92,76,98,1.607543,7084.370851499998,2502.40683325
540,16,8,28,34,82,60,95,95,1.5849199999999999,5318.005084250002,3293.3783532500006
541,9,12,26,22,98,95,97,95,1.582222,6203.6073207499985,3306.653498250001
542,11,9,11,24,98,89,44,98,1.592938,7260.456086999992,1989.550591
543,20,12,13,22,95,92,57,99,1.584955,6957.334277000005,2428.7188052499982
545,15,32,29,7,54,97,92,82,1.5924269999999998,7321.652174250001,3375.940323
546,16,21,31,26,84,69,97,88,1.574739,5691.34354575,3467.1139710000025
547,5,14,17,23,40,50,81,82,1.590854,4847.521781249996,4309.858083
548,13,8,34,9,76,50,83,95,1.620919,4880.799054750004,5098.340510999999
549,23,7,36,30,72,81,100,84,1.572209,5388.810635500001,3598.6137367499996
551,12,20,8,13,71,93,43,96,1.586409,7532.871965000005,2435.0142464999985
555,26,19,20,11,86,99,93,70,1.593774,7616.552114999993,2789.8585825
557,6,14,22,19,40,72,80,69,1.5945429999999998,6022.4294639999935,3572.734593999998
558,18,19,6,25,70,76,50,94,1.576258,6308.103798999995,2808.284758999999
560,29,7,40,17,81,93,93,71,1.5934249999999999,5768.427849,3922.1823217499996
561,7,32,32,10,68,97,100,85,1.5908669999999998,6927.6750082499975,3577.488661000002
563,37,29,5,27,95,87,90,86,1.582136,7333.416939749995,1687.5362382499993
564,21,19,19,19,99,85,78,79,1.589013,6860.960720000001,2815.141678249999
565,39,35,0,10,95,90,38,53,1.593297,7314.9681117499995,2708.9524239999987
566,16,38,6,22,77,84,40,48,1.578634,7013.695241249999,2297.800779249999
567,8,35,17,9,53,99,49,78,1.591969,8146.90589950001,2363.983393000001
568,24,3,19,9,64,97,43,68,1.591717,7833.892107500004,2592.210770749999
569,16,6,24,24,75,36,95,87,1.6097800000000002,4004.0862567500058,4636.3103375
570,20,7,3,19,84,37,21,80,1.606691,4082.597493499999,2530.2970417500014
572,13,13,11,20,87,75,67,99,1.583698,6308.326722249995,3246.9356047500014
573,40,17,29,4,98,75,92,94,1.594574,6620.448826750008,4291.622638499997
574,19,18,24,8,85,93,96,40,1.6030630000000001,7605.022193250012,3020.1590065000005
575,22,7,19,33,64,92,62,86,1.5898349999999999,6142.435074749999,2534.6195707500005
576,17,22,10,3,74,97,66,39,1.601316,8291.04304075,2705.4297945
577,25,21,29,4,79,90,86,37,1.6039379999999999,7539.418935000009,3356.0526382499997
578,0,24,27,26,31,61,98,63,1.620766,5387.136934499997,3677.3824707499966
581,3,9,33,26,38,25,97,95,1.62614,3065.4859544999995,4663.980008749996
582,10,23,8,25,41,81,84,86,1.5825040000000001,6719.29001575,2474.7753127500014
583,22,31,11,9,75,84,29,73,1.5786229999999999,7231.777906500002,2757.2524534999993
584,2,13,19,13,59,88,98,69,1.5985239999999998,7357.680797249999,2875.9551057500016
586,34,26,16,15,91,82,53,70,1.586456,6556.055544000003,3200.3414649999972
587,22,14,12,28,69,35,77,68,1.603183,3899.588583749998,4587.796925000001
589,0,8,63,21,92,97,97,100,1.668269,4398.633241000001,4836.266040750002
593,4,28,32,13,88,46,94,25,1.625852,4665.93265375,5079.531671500003
594,8,9,22,23,71,73,91,85,1.584303,6384.388207750003,3103.317021999997
595,14,31,0,26,64,100,94,89,1.602248,8004.1968835000025,875.3669262500002
596,2,32,26,1,43,100,98,10,1.63767,7903.107406249998,3210.273979249998
598,15,12,30,7,85,98,72,77,1.589237,7204.1571154999965,3536.2625117499997
600,17,14,18,12,99,80,79,55,1.608009,6383.309363750008,3754.6193589999975
602,6,19,29,13,72,54,69,51,1.594677,5193.539855250004,4540.724756500002
603,28,2,15,18,89,100,96,94,1.5794549999999998,7554.914953000012,2258.2602517500004
604,32,17,6,18,81,88,18,59,1.581202,7380.982637500003,1793.4548835
605,7,35,2,9,43,81,92,59,1.588813,6941.636800999993,3509.0553762499994
608,21,34,16,21,82,97,63,85,1.580595,7167.904376999999,2425.2450469999985
609,27,5,10,8,100,58,99,36,1.589585,5545.992850499996,4756.534099250001
610,32,11,19,15,74,19,75,51,1.6305450000000001,2633.6717605000003,5351.831913000004
611,11,5,18,20,70,96,93,84,1.5790549999999999,7102.837561500002,2570.0616852499993
612,27,14,25,22,79,79,96,70,1.577205,6430.199145500001,3121.094704750004
614,12,22,16,22,91,93,79,82,1.57802,7199.922802499997,2342.431545
615,0,38,10,21,71,88,26,73,1.61991,7482.678886749996,1825.447083499999
616,5,13,23,29,89,85,82,88,1.604518,5943.682194499997,2970.0171954999987
617,27,29,5,10,97,99,73,65,1.6007419999999999,8323.00543675,2050.9147660000003
618,2,18,19,18,23,87,94,86,1.592035,6867.212055749999,2915.874719500001
619,28,14,8,7,100,64,66,40,1.5896059999999999,5908.304452250002,4438.75431975
620,16,21,21,1,79,97,93,77,1.6066690000000001,8146.930933750008,3000.842331999999
623,17,11,7,15,100,82,86,92,1.592753,6734.735965250001,3238.3477690000013
624,26,16,24,14,85,58,88,81,1.579591,5436.578986500004,4456.20060125
625,13,12,9,41,28,26,37,90,1.594766,3194.1008570000063,3690.9556387500006
626,7,14,18,18,38,85,78,100,1.588591,7278.892991749992,2619.5752602500024
627,24,10,39,3,72,90,80,8,1.603011,6867.884396750002,4106.156826250001
628,16,17,23,10,72,92,97,56,1.5923669999999999,7351.297137249996,3067.2168735000005
630,11,4,17,33,45,26,75,93,1.613048,3176.786897249999,4803.415537750004
631,2,34,44,13,19,64,97,44,1.630088,5713.820456749994,4372.460841
633,26,16,38,1,78,42,82,72,1.603718,4447.193145749995,5604.40182675
634,17,17,2,14,100,90,46,67,1.58841,7028.442618500001,2739.869356499999
635,61,17,0,4,91,35,31,38,1.5935329999999999,4342.308045499993,3530.296086750003
636,17,31,7,13,75,81,42,69,1.5859139999999998,6618.9825544999985,3136.1663352500013
637,22,50,8,10,60,98,49,87,1.594547,8399.378062250005,2028.6691157499995
639,16,13,0,19,72,83,18,60,1.587711,6848.6368645000075,1970.6511495
641,28,8,19,4,94,98,64,74,1.613156,8081.177472750003,2781.4233309999995
642,22,26,21,30,76,100,67,96,1.573269,6357.659100750001,2623.4185697500025
643,14,20,33,14,70,80,90,90,1.601035,6332.577465999996,3674.0720252500005
644,18,15,26,23,84,92,97,99,1.5689039999999999,6430.100199999995,3065.8161632499996
646,23,16,15,7,95,70,87,59,1.590676,6186.281444000001,4312.2911454999985
647,18,24,20,20,64,69,98,60,1.58588,5670.55702175,3767.5082667499996
648,26,16,17,10,94,92,65,91,1.616814,7178.715467999991,3024.1525180000003
650,23,11,4,27,98,81,21,100,1.5820020000000001,7011.650799749994,1764.3308637499995
651,25,37,5,30,74,96,85,87,1.592528,7443.999053250002,1263.5898585
652,19,3,29,23,74,79,93,84,1.5792389999999998,6079.095601499999,3355.54957425
653,32,19,1,19,96,73,24,94,1.592757,5821.692942499997,2555.502652999998
654,16,27,20,21,67,98,79,100,1.570946,6981.936692249991,2687.7570154999994
655,16,1,27,8,66,83,96,98,1.584843,7148.332595000002,3497.419356999998
656,29,10,22,18,92,99,87,77,1.575421,6788.979766500005,3021.3439475000005
657,11,28,14,22,100,100,90,100,1.582031,7276.415824000001,2193.4843057499993
658,10,23,0,39,97,54,31,77,1.582938,5088.5760827500035,2874.00245475
660,24,20,16,5,90,86,89,27,1.5971060000000001,7346.907854999999,3454.860447
661,3,30,18,24,95,73,53,65,1.596877,6227.81276675,3011.5771292500003
662,22,22,7,5,100,91,90,28,1.596646,7750.29897675001,3124.01056425
663,2,33,25,14,64,88,65,97,1.620955,6901.724339250007,3212.1121890000013
664,7,11,21,15,36,64,99,81,1.5900349999999999,5507.3976490000005,4346.165655999998
665,15,13,10,9,83,96,59,84,1.609597,7808.563709999995,2553.372383
666,3,7,36,9,46,84,96,67,1.600396,6573.456527749995,3903.826477250001
667,17,20,28,4,59,77,86,48,1.5920670000000001,6772.233248249991,4137.970206999999
668,21,25,16,28,93,98,86,91,1.579415,6517.745254750002,2456.6006652500005
669,20,11,26,24,80,43,93,99,1.594909,4441.854951500003,4494.905472250002
670,23,7,15,30,61,54,54,92,1.5757050000000001,5093.9798372499945,3627.071381749999
671,24,26,6,0,96,82,67,100,1.608412,7019.509078999991,4100.226164249999
673,26,20,5,10,93,60,58,70,1.582568,5688.9605515,4290.3172947500025
674,9,20,19,13,98,100,98,58,1.581147,7474.424840750002,2730.209828
675,9,15,45,25,63,40,85,59,1.596903,4272.891284999997,4718.620776499999
676,7,17,11,19,81,91,49,81,1.5853679999999999,7572.106119499996,2094.1948884999997
677,19,9,15,9,89,57,89,68,1.587423,5420.910121500004,4846.700429499999
678,5,2,22,29,85,60,88,97,1.576592,5306.67662675,3547.071220750001
680,30,23,11,28,98,78,95,92,1.573769,6757.7958127500015,2296.321392250001
681,2,15,24,21,12,74,72,69,1.798608,6202.256678749994,3313.6069767500003
683,18,16,8,17,93,88,66,94,1.588458,7104.861736749998,2711.8539799999985
684,29,27,13,17,100,98,87,62,1.5845289999999999,7820.785046000002,2075.74010125
687,24,11,15,30,94,76,83,100,1.576913,6466.699839250004,2404.2165275000016
688,22,17,25,21,80,72,87,58,1.578107,6106.7855357499975,3400.2530564999993
690,16,25,11,11,99,92,81,43,1.597836,7508.021593750004,2832.8716757500015
691,18,4,13,28,59,50,45,90,1.5749900000000001,4768.7220562500015,3867.38061775
692,6,0,18,26,41,55,92,73,1.572692,5158.458947000002,3909.8966110000015
693,31,24,18,14,95,81,57,66,1.5808879999999998,6919.81315475,3139.5924094999996
694,24,30,1,27,88,91,65,99,1.610342,7065.447570749995,1772.8149905
695,6,27,9,23,64,80,75,73,1.581359,6760.375501499991,2642.321585750001
696,24,16,15,43,89,38,82,98,1.592111,4123.204944249999,3657.860756499999
697,22,3,22,10,96,74,100,93,1.595859,6279.653309499998,4091.0446607500003
698,16,8,17,19,43,90,41,95,1.586207,6919.399499999999,2575.843331750001
699,11,4,31,20,49,68,100,80,1.58409,5814.914704749995,3675.3022654999995
700,0,9,23,29,67,81,89,92,1.611571,6069.289444749997,2954.5259487499993
702,38,9,6,39,77,83,88,96,1.583603,6770.722865499998,1432.06119525
703,15,12,25,34,53,43,86,100,1.5851419999999998,4416.029452250001,3996.7417727499997
704,4,32,39,19,14,84,94,58,1.69941,5601.927040999997,4008.061887250001
705,34,1,12,16,98,33,42,51,1.6023640000000001,3815.512657250001,3923.858404999998
706,21,13,5,24,51,37,42,80,1.58068,4145.536423999993,3871.2131975
707,3,6,40,27,72,77,86,56,1.602497,5286.984444999994,3856.5444942500003
709,20,5,22,13,68,62,77,77,1.588781,5617.2430515,4372.053146
710,34,18,3,16,92,46,16,76,1.5964459999999998,4656.704663499997,2074.3131647500004
711,30,12,26,0,66,28,65,33,1.6128719999999999,3637.4759685000013,4654.737710000001
713,33,20,6,32,99,85,83,99,1.586298,7103.290557499991,1515.3634547500008
715,0,19,14,20,57,92,81,98,1.619621,7046.555282749998,2504.42743275
716,24,20,30,14,65,56,83,72,1.580749,5293.799640750005,4500.6680475
717,3,26,10,46,47,60,11,53,1.630499,5607.174633749995,1669.917105749999
718,9,9,40,20,65,62,81,79,1.578511,5455.778837500004,3971.1034309999995
719,0,18,18,16,47,74,75,78,1.607001,6097.959282249998,3689.4822117499994
720,11,20,0,23,84,86,80,92,1.5807820000000001,7385.785581250007,1965.7933704999994
722,19,11,8,36,69,40,67,99,1.598361,4225.493665000001,3879.2860485000006
725,9,16,21,20,75,82,95,93,1.586514,6429.092884250003,3155.8215597500007
726,42,8,14,34,85,37,33,95,1.583606,3998.2497694999993,3303.816317500001
728,23,30,29,5,93,66,84,27,1.598897,5885.1850030000005,4751.2018689999995
729,21,0,27,15,92,40,89,99,1.6124990000000001,4145.963192749999,5128.735303999999
730,1,22,19,16,49,85,85,56,1.6006049999999998,7013.632060750001,2967.7987092499993
731,19,21,7,18,94,86,46,99,1.579926,7118.2441694999925,2530.112267
733,10,10,26,27,46,37,90,99,1.589274,4026.683570499994,4676.502942000001
734,7,4,39,34,99,86,98,94,1.5846740000000001,4947.773218749997,3650.3517632499993
735,22,19,17,15,100,79,48,63,1.580071,6664.677858749995,3214.905261
740,10,8,33,12,88,65,98,48,1.583106,5854.185821999998,4199.180599999999
741,16,6,19,55,46,12,97,94,1.642535,1890.9764322499975,4971.62580475
742,25,15,29,11,91,54,66,87,1.597633,5213.530062500003,4658.513069499999
743,32,17,10,30,99,69,29,88,1.581491,5764.276982250006,2554.317713750001
744,15,8,29,42,80,28,79,99,1.604012,3328.4556844999975,4584.5711235
746,26,24,18,18,94,95,94,93,1.573782,7232.984305499996,2603.7800317500005
747,17,21,21,3,89,91,92,77,1.608162,7679.442165249999,3267.281054499999
