,pid,class-0-latency,class-1-latency,class-2-latency,class-3-latency,pr-0,pr-1,pr-2,pr-3,ar-0,ar-1,ar-2,ar-3,class-0-bw,class-1-bw,class-2-bw,class-3-bw
490,106179-1642650567,1.5846230000000001,4.436041,8.780391,11.053575,100,100,81,85,31,11,20,19,505.8670042499999,7013.869285999996,2749.1283427500002,2120.126484500001
491,87430-1642661668,1.5909559999999998,6.823209,4.983881,8.668746,38,55,49,90,17,20,43,0,505.67746124999985,5237.261055249997,4139.733315749999,2423.1421935000003
492,81508-1642647673,1.595022,9.546371,3.12652,7.5807400000000005,94,38,67,83,24,9,18,9,505.86819725000004,4116.2753107499975,4990.031717749998,2601.3243197499996
493,114362-1642651524,1.580973,4.462408,7.9970479999999995,10.488297,95,81,51,58,22,8,14,19,505.81097674999984,6719.379425499997,2896.6319555000005,2269.940375749999
494,80755-1642660898,1.585449,4.95974,8.291917,9.566438,100,83,74,95,25,1,21,24,505.80978425000023,6465.3897245,2844.8355174999997,2571.772338000001
495,12893-1642652962,1.5838670000000001,4.779612,7.0797,11.586549,85,77,92,68,8,20,25,17,505.74541050000005,6359.0872317499925,3484.294412499999,2016.8876642500013
496,106626-1642664098,1.5836869999999998,4.549516,7.8677589999999995,12.158138,95,100,89,89,13,6,25,15,505.7537557499999,6847.960947749997,3178.3616565000016,1807.8804000000002
497,110829-1642651108,1.586741,4.552895,9.296027,8.767724,93,78,40,79,15,11,3,24,505.8073997500001,6497.616767499998,2585.748433749999,2833.098171499999
498,52449-1642657570,1.6067779999999998,3.958596,9.289982,23.294439,44,98,82,61,8,23,13,4,505.61070550000005,8337.450027749996,2608.3672039999988,662.4841680000002
499,95133-1642662594,1.609779,4.403955,7.496603,32.305141,54,90,79,46,11,20,20,0,505.56898075,7755.842207250005,3504.5278069999995,297.72877600000004
500,36332-1643050366,1.573956,7.080637,7.28836,6.478957,62,52,73,100,16,5,18,39,505.90038225,4979.933499500002,3320.071695499999,3594.2423344999997
501,57934-1642698404,1.584505,5.357869,8.983468,8.248821,58,99,79,99,8,31,21,31,505.70368799999983,6074.808837000007,2740.7383925000004,3095.4444402499994
502,93255-1642703156,1.605192,5.185471,6.4554,10.902815,21,68,37,17,4,41,20,6,505.6142809999999,5870.304107749999,3734.8294254999996,2179.5201299999994
503,29222-1642694554,1.586735,6.051734,12.922367,5.075226,69,74,98,84,27,6,9,51,505.7311054999999,5913.012029499995,1550.0688554999997,4187.234638249998
505,68201-1642699758,1.590315,4.381844,7.89713,11.933749,67,100,78,81,18,42,22,16,505.7275292499999,6983.196735249995,2987.9999182500005,1883.4578997500003
507,20246-1642693363,1.612416,8.295791,3.455511,11.746193,91,43,85,14,54,3,15,10,505.62620150000015,4563.7440689999985,5422.992708000001,1654.2112817499992
508,71340-1642700176,1.6103480000000001,4.525577,17.311707,6.607717,73,84,5,97,23,21,2,33,505.48791824999995,7137.770649249999,767.53258625,3637.5021934999986
509,18517-1642708390,1.580546,4.927672,9.446696,8.918387,50,100,82,85,8,28,19,28,505.92541600000015,6518.522503250006,2561.852932499998,2839.3387777500006
511,31058-1642710088,1.594396,6.647858,7.375961,7.386597,94,62,89,64,4,3,29,34,505.68461425000027,5422.635076249997,3190.7594207500033,3283.63299175
512,36383-1642695508,1.58921,4.313159,8.025102,12.893353,86,85,91,79,14,15,13,14,505.85031425000005,7159.583568249991,3022.9032054999993,1659.23952975
513,87445-1642702371,1.611611,4.005896,8.767697,20.939871,29,95,65,75,5,59,5,5,505.54513875000015,7996.2205900000035,2832.7715372499993,799.6845252500001
515,22596-1642708989,1.5900050000000001,4.570811,7.176916,15.774951,99,84,85,63,31,27,25,8,505.64527474999994,7167.094944249997,3435.33396825,1126.8448827499992
516,36376-1642695476,1.6337700000000002,7.501141,3.294862,13.645108,79,50,92,95,24,19,52,1,505.44381225000006,4983.1807579999995,5475.194455250002,987.4260424999999
517,74028-1642700567,1.600217,4.5612960000000005,6.42414,15.435084,82,81,58,38,47,24,1,2,505.62739300000004,6829.594372000005,4027.576446000001,773.9317432500002
518,39115-1642711181,1.612849,7.449159,3.500452,11.543159,93,51,74,69,40,4,6,3,505.70130324999997,5064.036846749994,4888.911247499998,1519.0970900000016
519,42663-1642696370,1.600559,5.075381,8.327503,8.624651,25,71,40,78,5,21,21,24,505.6202407499999,6007.090805749996,3010.094166499999,2872.453927249999
520,29734-1642709948,1.6102569999999998,8.667951,4.024627,9.247131,95,42,75,83,20,5,17,18,505.51652825,4282.631871749994,5001.3208387500035,2465.2981762499994
521,91903-1642702923,1.600854,8.796421,3.104577,8.390265,100,39,67,33,35,5,15,10,505.7024955000003,4345.039130999997,4903.57041525,2419.9640782499987
522,44889-1642696669,1.5963859999999999,4.5231200000000005,7.473559,11.91794,69,99,91,61,19,28,26,16,505.67030975000006,6557.426451249997,3357.7799799999993,1930.2010532499974
523,33669-1642695149,1.6067230000000001,7.659779,6.94122,6.342985,76,48,46,70,0,15,15,38,505.60951224999985,4806.613924249992,3397.3896502500006,3668.9186107499986
524,87438-1642702325,1.6055570000000001,4.528119,6.988186,32.564571,94,87,75,77,16,23,25,0,505.55705975000006,7259.954212999998,3922.011853749999,348.74915875000016
526,7076-1642706859,1.579192,5.554049,6.352349,10.718684,50,66,70,86,8,3,19,18,505.59043875000003,5758.837460500002,3882.600070500001,2244.7645667499996
527,99959-1642704037,1.588431,5.228182,6.207833,14.037455,75,78,82,59,9,39,36,10,505.79190149999994,6546.561718000005,3928.676843999999,1322.798727750001
530,100415-1642704116,1.65277,4.362043,10.962973999999999,8.466374,73,95,53,71,1,47,9,30,505.44738775,7057.201862249996,1724.461317000001,2991.750242000003
532,62414-1642699001,1.755258,15.600903,2.677055,6.951907,47,9,80,39,0,7,64,27,504.9037932500001,1989.4778684999992,5609.543324250005,3786.759378750001
533,80736-1642701464,1.5762070000000001,5.336081,7.200867,9.005703,89,68,35,78,52,20,15,10,505.65123575000007,5832.102297749999,3318.2692525000016,2734.309434250001
534,31905-1642694897,1.580614,5.889894,7.137511,8.78043,84,81,86,81,5,17,32,26,505.9218402500001,5830.602645250002,3411.289452000001,2708.119154999999
535,43111-1642696423,1.613334,3.759124,8.746541,16.294918,68,99,74,50,14,28,11,7,505.63693125000003,8005.5904384999985,2508.4948522499985,1074.3343837500006
536,38602-1642695773,1.59444,5.308618,5.798913,11.380603,88,69,59,95,22,13,5,9,505.59043775,5965.30914125,4151.998758249996,1620.0029835000003
537,105331-1642704761,1.5852629999999999,5.010099,6.47535,13.24777,100,76,42,63,29,13,12,0,505.8360092500002,6676.205396749998,3862.2903830000014,1122.9836954999998
538,95028-1642703391,1.5855100000000002,5.245448,5.861968,15.270608,99,74,100,44,36,18,33,7,505.76567675000007,6559.6091747499995,4058.4123145000017,1117.392781
539,1594-1642706132,1.607543,4.072601,8.046187,10.915612,98,92,76,98,19,12,14,19,505.59997525000006,7084.370851499998,2502.40683325,2164.1969667500025
540,42679-1642711647,1.5849199999999999,6.350059,7.5814,7.201985,82,60,95,95,16,8,28,34,505.80024675,5318.005084250002,3293.3783532500006,3291.7773730000004
541,82985-1642701768,1.582222,4.9896840000000005,7.627042,10.088055,98,95,97,95,9,12,26,22,505.8276650000001,6203.6073207499985,3306.653498250001,2402.4653457499994
542,27042-1642709586,1.592938,4.268225,10.050474,9.331378,98,89,44,98,11,9,11,24,505.7191844999999,7260.456086999992,1989.550591,2568.278315749999
543,40394-1642696017,1.584955,4.292256,9.421559,10.218151,95,92,57,99,20,12,13,22,505.8503140000001,6957.334277000005,2428.7188052499982,2463.75322175
545,16721-1642708204,1.5924269999999998,4.555258,7.4067,17.984262,54,97,92,82,15,32,29,7,505.70964800000013,7321.652174250001,3375.940323,988.8148307500002
546,31450-1642694851,1.574739,5.878321,6.838264,9.265839,84,69,97,88,16,21,31,26,505.86104275,5691.34354575,3467.1139710000025,2770.1699745000024
547,26585-1642709489,1.590854,7.327823,5.268786,8.349906,40,50,81,82,5,14,17,23,505.8073997500001,4847.521781249996,4309.858083,2719.1448192500015
548,72678-1642700367,1.620919,7.301055,3.876375,11.740335,76,50,83,95,13,8,34,9,505.45573150000007,4880.799054750004,5098.340510999999,1606.4345829999993
549,97731-1642703755,1.572209,6.698351,6.818655,7.9600539999999995,72,81,100,84,23,7,36,30,505.9003825,5388.810635500001,3598.6137367499996,2937.4301459999997
551,80729-1642701437,1.586409,3.963054,10.059401,12.549681,71,93,43,96,12,20,8,13,505.7966702499999,7532.871965000005,2435.0142464999985,1790.2374282499986
555,34131-1642695204,1.593774,4.233214,8.49611,14.13087,86,99,93,70,26,19,20,11,505.69772725,7616.552114999993,2789.8585825,1391.6754697499998
557,23478-1642709101,1.5945429999999998,5.118197,6.778964,10.835616,40,72,80,69,6,14,22,19,505.60832,6022.4294639999935,3572.734593999998,2268.016337749999
558,112036-1642705658,1.576258,4.755227,8.538821,9.269637,70,76,50,94,18,19,6,25,505.7346819999999,6308.103798999995,2808.284758999999,2777.29034275
560,64638-1642699291,1.5934249999999999,5.893451,5.700169,11.163645,81,93,93,71,29,7,40,17,505.5058,5768.427849,3922.1823217499996,2129.1840072500004
561,29215-1642694553,1.5908669999999998,4.86627,6.959968,14.846515,68,97,100,85,7,32,32,10,505.77402125000003,6927.6750082499975,3577.488661000002,1288.6905682500003
563,70448-1642700062,1.582136,4.381888,11.149466,9.154109,95,87,90,86,37,29,5,27,505.80739925000006,7333.416939749995,1687.5362382499993,2742.2618854999996
564,14433-1642707871,1.589013,4.381988,8.171976,11.191185,99,85,78,79,21,19,19,19,505.7322972500001,6860.960720000001,2815.141678249999,2190.694806000001
565,74470-1642700582,1.593297,4.001966,9.196225,11.887384,95,90,38,53,39,35,0,10,505.84316200000006,7314.9681117499995,2708.9524239999987,1790.18020675
566,25704-1642709399,1.578634,4.277177,10.156426,9.829865,77,84,40,48,16,38,6,22,505.7549467500001,7013.695241249999,2297.800779249999,2529.680726999999
567,2493-1642706284,1.591969,4.16088,10.063802,15.804175,53,99,49,78,8,35,17,9,505.7096492500001,8146.90589950001,2363.983393000001,1204.3869485
568,103108-1642704484,1.591717,4.09644,9.548358,14.529847,64,97,43,68,24,3,19,9,505.5654045000002,7833.892107500004,2592.210770749999,1325.7205489999994
569,42656-1642696357,1.6097800000000002,9.689217,3.9148449999999997,7.412231,75,36,95,87,16,6,24,24,505.4998390000002,4004.0862567500058,4636.3103375,3045.4194554999976
570,49362-1642697213,1.606691,9.055005,8.965755,3.846669,84,37,21,80,20,7,3,19,505.62739400000004,4082.597493499999,2530.2970417500014,4916.810988999999
572,30178-1642709999,1.583698,4.647735,7.336638,10.521849,87,75,67,99,13,13,11,20,505.9349532500002,6308.326722249995,3246.9356047500014,2295.1185677499993
573,37312-1642710975,1.594574,5.07257,5.823454,19.053642,98,75,92,94,40,17,29,4,505.62262625000017,6620.448826750008,4291.622638499997,758.7611690000002
574,73569-1642700473,1.6030630000000001,4.300348,8.100308,16.413429,85,93,96,40,19,18,24,8,505.55348375,7605.022193250012,3020.1590065000005,1095.3724390000004
575,98626-1642703872,1.5898349999999999,5.126418,9.664735,7.662871,64,92,62,86,22,7,19,33,505.8038232500002,6142.435074749999,2534.6195707500005,3182.5387469999996
576,78948-1642701187,1.601316,3.997737,9.178617,26.331463,74,97,66,39,17,22,10,3,505.67030850000026,8291.04304075,2705.4297945,587.5432509999996
577,22579-1642708955,1.6039379999999999,4.566259,7.587912,21.657969,79,90,86,37,25,21,29,4,505.4891115,7539.418935000009,3356.0526382499997,708.46915325
578,111137-1642705512,1.620766,5.951744,6.735817,9.007414,31,61,98,63,0,24,27,26,505.63216150000005,5387.136934499997,3677.3824707499966,2809.8356740000004
581,35913-1642695428,1.62614,12.41075,3.064158,6.023078,38,25,97,95,3,9,33,26,505.34009925000004,3065.4859544999995,4663.980008749996,3769.5419794999993
582,67310-1642699642,1.5825040000000001,4.561395,9.284617,9.544201,41,81,84,86,10,23,8,25,505.69176674999994,6719.29001575,2474.7753127500014,2643.7008372500018
583,33723-1642710448,1.5786229999999999,4.549921,9.087307,11.604016,75,84,29,73,22,31,11,9,505.8145517500001,7231.777906500002,2757.2524534999993,1835.734845000001
584,24745-1642693950,1.5985239999999998,4.210769,8.267747,13.296549,59,88,98,69,2,13,19,13,505.74183375000007,7357.680797249999,2875.9551057500016,1576.5559672499996
586,44875-1642696639,1.586456,4.47176,7.935752,11.400491,91,82,53,70,34,26,16,15,505.82885649999986,6556.055544000003,3200.3414649999972,2052.527665500001
587,8888-1642707161,1.603183,10.391327,4.194868,6.792314,69,35,77,68,22,14,12,28,505.54394650000006,3899.588583749998,4587.796925000001,3205.085992999999
589,54801-1642697942,1.668269,8.386198,3.500658,10.349407,92,97,97,100,0,8,63,21,505.268573,4398.633241000001,4836.266040750002,2374.1054532500007
593,23471-1642709062,1.625852,7.7477219999999996,3.803972,11.116597,88,46,94,25,4,28,32,13,505.5236822499999,4665.93265375,5079.531671500003,1941.8489945000013
594,97724-1642703739,1.584303,5.036864,8.041412,9.649169,71,73,91,85,8,9,22,23,505.83839474999996,6384.388207750003,3103.317021999997,2450.4125104999994
595,14458-1642707908,1.602248,4.041005,13.862689,9.406811,64,100,94,89,14,31,0,26,505.6619637500001,8004.1968835000025,875.3669262500002,2691.220045250002
596,84761-1642701963,1.63767,4.172227,7.93884,30.916334,43,100,98,10,2,32,26,1,505.175589,7903.107406249998,3210.273979249998,382.5116157499998
598,42642-1642696317,1.589237,4.649507,7.233433,17.752316,85,98,72,77,15,12,30,7,505.63096974999996,7204.1571154999965,3536.2625117499997,991.1215295000005
600,62407-1642698996,1.608009,4.52538,6.273219,12.503309,99,80,79,55,17,14,18,12,505.6071290000001,6383.309363750008,3754.6193589999975,1607.923508249999
602,78505-1642701165,1.594677,6.945902,4.509265,10.204288,72,54,69,51,6,19,29,13,505.7907110000003,5193.539855250004,4540.724756500002,2026.69024425
603,113818-1642705905,1.5794549999999998,4.262572,9.625086,11.433484,89,100,96,94,28,2,15,18,505.8217039999999,7554.914953000012,2258.2602517500004,2036.3223559999997
604,61055-1642698775,1.581202,4.168311,11.957578,8.554932,81,88,18,59,32,17,6,18,505.8348177500002,7380.982637500003,1793.4548835,2610.574961250003
605,86546-1642702250,1.588813,4.561344,7.114818,14.803392,43,81,92,59,7,35,2,9,505.75256275000004,6941.636800999993,3509.0553762499994,1257.6663494999998
608,67317-1642699659,1.580595,4.445683,9.412252,10.460346,82,97,63,85,21,34,16,21,505.82408950000007,7167.904376999999,2425.2450469999985,2300.6808735000013
609,82992-1642701780,1.589585,6.643974,4.539266,10.967405,100,58,99,36,27,5,10,8,505.6989187500002,5545.992850499996,4756.534099250001,1416.5401467499994
610,7991-1642707026,1.6305450000000001,13.813265,2.767141,6.62015,74,19,75,51,32,11,19,15,505.29956824999977,2633.6717605000003,5351.831913000004,3455.069065999999
611,74021-1642700541,1.5790549999999999,4.486949,9.041121,10.947541,70,96,93,84,11,5,18,20,505.88369350000016,7102.837561500002,2570.0616852499993,2223.1864924999995
612,20232-1642693352,1.577205,4.940997,7.785538,9.970841,79,79,96,70,27,14,25,22,505.8431622500001,6430.199145500001,3121.094704750004,2400.763034749999
614,18011-1642693061,1.57802,4.408874,9.726904,10.28324,91,93,79,82,12,22,16,22,505.83720174999996,7199.922802499997,2342.431545,2350.5377779999994
615,35928-1642695451,1.61991,4.263486,11.992487,9.416258,71,88,26,73,0,38,10,21,505.56063575000013,7482.678886749996,1825.447083499999,2520.930767750001
616,112043-1642705684,1.604518,5.414936,8.710512,8.718245,89,85,82,88,5,13,23,29,505.686999,5943.682194499997,2970.0171954999987,2938.929797999999
617,61495-1642698851,1.6007419999999999,3.721374,10.040068,14.967522,97,99,73,65,27,29,5,10,505.60116700000003,8323.00543675,2050.9147660000003,1288.1612767499998
618,57044-1642698242,1.592035,4.583734,8.44487,11.735219,23,87,94,86,2,18,19,18,505.65123550000004,6867.212055749999,2915.874719500001,2071.3126665
619,109806-1642705359,1.5896059999999999,5.981605,4.9423259999999996,12.067228,100,64,66,40,28,14,8,7,505.7311055,5908.304452250002,4438.75431975,1358.4279994999995
620,102661-1642704416,1.6066690000000001,4.233819,8.737263,33.251801,79,97,93,77,16,21,21,1,505.5308340000002,8146.930933750008,3000.842331999999,362.56313424999996
623,71795-1642700264,1.592753,4.477408,7.312905,12.22024,100,82,86,92,17,11,7,15,505.8109757500001,6734.735965250001,3238.3477690000013,1830.5242059999998
624,94144-1642703271,1.579591,6.483503,5.057246,10.716684,85,58,88,81,26,16,24,14,505.9230325000001,5436.578986500004,4456.20060125,1927.2935404999996
625,39557-1642711267,1.594766,11.946280999999999,6.772768,4.289837,28,26,37,90,13,12,9,41,505.6583880000001,3194.1008570000063,3690.9556387500006,4772.037268
626,19854-1642708593,1.588591,4.525597,8.652104,11.625631,38,85,78,100,7,14,18,18,505.8264725000002,7278.892991749992,2619.5752602500024,2008.4893727500003
627,111130-1642705511,1.603011,5.001657,6.095193,23.456579,72,90,80,8,24,10,39,3,505.62381725,6867.884396750002,4106.156826250001,608.8912517499998
628,18029-1642693067,1.5923669999999999,4.28723,7.973214,14.545284,72,92,97,56,16,17,23,10,505.73587450000025,7351.297137249996,3067.2168735000005,1306.5195085
630,25697-1642709357,1.613048,11.981586,3.6701319999999997,5.98101,45,26,75,93,11,4,17,33,505.58090125,3176.786897249999,4803.415537750004,3658.4556110000017
631,106661-1642704926,1.630088,6.067947,5.449737,11.909751,19,64,97,44,2,34,44,13,505.52129675000026,5713.820456749994,4372.460841,1742.2914507500006
633,29279-1642709858,1.603718,8.955319,2.799572,10.369946,78,42,82,72,26,16,38,1,505.79428700000005,4447.193145749995,5604.40182675,1434.3023295000003
634,26970-1642694252,1.58841,4.184885,8.764189,11.454499,100,90,46,67,17,17,2,14,505.83481775000007,7028.442618500001,2739.869356499999,2023.5681535000006
635,93702-1642703217,1.5935329999999999,8.308059,6.808267,6.067174,91,35,31,38,61,17,0,4,505.6560035,4342.308045499993,3530.296086750003,3957.337140250002
636,55709-1642698106,1.5859139999999998,4.416958,7.933039,11.340615,75,81,42,69,17,31,7,13,505.9146880000002,6618.9825544999985,3136.1663352500013,2116.712331249999
637,31960-1642710245,1.594547,3.884824,10.652436,15.325405,60,98,49,87,22,50,8,10,505.6142802500001,8399.378062250005,2028.6691157499995,1252.8240679999997
639,53918-1642697857,1.587711,4.356993,11.616852,8.222497,72,83,18,60,16,13,0,19,505.78236574999994,6848.6368645000075,1970.6511495,2966.9082169999997
641,63741-1642699154,1.613156,3.893461,8.69978,18.163845,94,98,64,74,28,8,19,4,505.42712250000017,8081.177472750003,2781.4233309999995,713.6189952499998
642,72237-1642700280,1.573269,5.345808,9.440536999999999,8.34839,76,100,67,96,22,26,21,30,505.92780100000004,6357.659100750001,2623.4185697500025,2958.2631579999984
643,49376-1642697255,1.601035,5.122233,6.267593,12.345762,70,80,90,90,14,20,33,14,505.64050625000004,6332.577465999996,3674.0720252500005,1797.8847009999997
644,22978-1642693676,1.5689039999999999,5.220587,8.202367,9.717531,84,92,97,99,18,15,26,23,506.00886299999985,6430.100199999995,3065.8161632499996,2458.7666990000007
646,2485-1642706260,1.590676,5.455732,5.423374,14.828714,95,70,87,59,23,16,15,7,505.71918474999995,6186.281444000001,4312.2911454999985,1153.4023274999995
647,95494-1642703440,1.58588,5.277437,6.538208,10.325058,64,69,98,60,18,24,20,20,505.6953422499999,5670.55702175,3767.5082667499996,2393.46265725
648,16714-1642708170,1.616814,3.934949,7.340512,12.826684,94,92,65,91,26,16,17,10,505.60235975000006,7178.715467999991,3024.1525180000003,1475.24475925
650,111144-1642705533,1.5820020000000001,4.74114,11.81387,7.755509,98,81,21,100,23,11,4,27,505.83124150000015,7011.650799749994,1764.3308637499995,3050.6098257499993
651,3438-1642706398,1.592528,4.42555,12.614488,8.601274,74,96,85,87,25,37,5,30,505.72872150000006,7443.999053250002,1263.5898585,3004.486559999998
652,19414-1642708560,1.5792389999999998,5.291374,7.622104,9.844462,74,79,93,84,19,3,29,23,505.9039587500001,6079.095601499999,3355.54957425,2494.3304059999996
653,31513-1642710188,1.592757,4.765603,10.210613,7.235282,96,73,24,94,32,19,1,19,505.57851700000003,5821.692942499997,2555.502652999998,3432.241680250001
654,47565-1642697028,1.570946,4.72748,9.173931,10.424835,67,98,79,100,16,27,20,21,505.9218405000001,6981.936692249991,2687.7570154999994,2257.922887
655,36430-1642710838,1.584843,4.654781,7.34899,16.158087,66,83,96,98,16,1,27,8,505.77998100000013,7148.332595000002,3497.419356999998,1102.5953275
656,35921-1642695448,1.575421,4.647274,8.171204,11.411557,92,99,87,77,29,10,22,18,505.76567625,6788.979766500005,3021.3439475000005,2079.700231749999
657,22971-1642693673,1.582031,4.339512,10.2223,10.308641,100,100,90,100,11,28,14,22,505.7990545,7276.415824000001,2193.4843057499993,2370.4898354999996
658,40899-1642711435,1.582938,6.632985,8.422802,6.308474,97,54,31,77,10,23,0,39,505.81574375,5088.5760827500035,2874.00245475,3870.4478750000017
660,100863-1642704183,1.5971060000000001,4.472488,7.229517,19.580738,90,86,89,27,24,20,16,5,505.75017849999995,7346.907854999999,3454.860447,844.2962167500003
661,64631-1642699290,1.596877,5.026812,7.970543,9.582628,95,73,53,65,3,30,18,24,505.64765850000003,6227.81276675,3011.5771292500003,2641.3464522500008
662,86099-1642702183,1.596646,4.183813,8.073293,20.408085,100,91,90,28,22,22,7,5,505.62739325000007,7750.29897675001,3124.01056425,793.6727999999997
663,58383-1642698456,1.620955,4.458828,7.4097349999999995,12.507654,64,88,65,97,2,33,25,14,505.5379860000001,6901.724339250007,3212.1121890000013,1724.0035540000006
664,9776-1642707276,1.5900349999999999,5.617621,5.782412,11.388435,36,64,99,81,7,11,21,15,505.77402075000003,5507.3976490000005,4346.165655999998,1902.978419749999
665,62854-1642699053,1.609597,3.766872,8.424561,14.68869,83,96,59,84,15,13,10,9,505.6202402500001,7808.563709999995,2553.372383,1295.5510622499999
666,47101-1642696937,1.600396,5.051145,6.307331,14.995976,46,84,96,67,3,7,36,9,505.5570600000001,6573.456527749995,3903.826477250001,1228.7092197499996
667,90572-1642702789,1.5920670000000001,4.876319,6.136498,20.302402,59,77,86,48,17,20,28,4,505.6440829999999,6772.233248249991,4137.970206999999,759.277342
668,6180-1642706726,1.579415,4.761644,9.420058,9.149083,93,98,86,91,21,25,16,28,505.75494700000013,6517.745254750002,2456.6006652500005,2873.723506249999
669,98186-1642703817,1.594909,8.490138,4.681321,8.104711,80,43,93,99,20,11,26,24,505.73706675000005,4441.854951500003,4494.905472250002,2916.49460825
670,18474-1642693072,1.5757050000000001,6.675254,6.651483,7.46055,61,54,54,92,23,7,15,30,505.8109765,5093.9798372499945,3627.071381749999,3142.5380712499996
671,76270-1642700843,1.608412,4.749039,6.251967,27.033043,96,82,67,100,24,26,6,0,505.44619500000016,7019.509078999991,4100.226164249999,397.16958974999994
673,47108-1642696953,1.582568,6.469834,4.943417,10.32813,93,60,58,70,26,20,5,10,505.70607075000004,5688.9605515,4290.3172947500025,1836.4524829999993
674,33738-1642710486,1.581147,4.249013,9.142868,13.049132,98,100,98,58,9,20,19,13,505.79666975,7474.424840750002,2730.209828,1599.31063475
675,22333-1642717618,1.596903,9.19275,4.454846,7.850395,63,40,85,59,9,15,45,25,505.77282950000006,4272.891284999997,4718.620776499999,2836.1189350000004
676,94151-1642703279,1.5853679999999999,4.16288,10.299029,10.990688,81,91,49,81,7,17,11,19,505.81216775,7572.106119499996,2094.1948884999997,2146.7196952499994
677,56163-1642698158,1.587423,6.639838,4.568254,11.711414,89,57,89,68,19,9,15,9,505.75494725,5420.910121500004,4846.700429499999,1423.3291132499992
678,79839-1642701353,1.576592,6.2666129999999995,7.077235,8.184283,85,60,88,97,5,2,22,29,505.78594175,5306.67662675,3547.071220750001,3022.48835575
680,69555-1642699943,1.573769,4.730392,9.8032,9.070567,98,78,95,92,30,23,11,28,505.892038,6757.7958127500015,2296.321392250001,2836.505176250002
681,27035-1642709556,1.798608,5.002223,7.451296,10.551193,12,74,72,69,2,15,24,21,503.29089275000007,6202.256678749994,3313.6069767500003,2381.669281749999
683,109813-1642705382,1.588458,4.144939,8.509567,11.793461,93,88,66,94,18,16,8,17,505.8729657500001,7104.861736749998,2711.8539799999985,1982.717515
684,75821-1642700769,1.5845289999999999,4.17044,9.999558,11.765623,100,98,87,62,29,27,13,17,505.8288575,7820.785046000002,2075.74010125,1924.0498552500007
687,10224-1642707345,1.576913,4.925384,9.420155,8.424159,94,76,83,100,24,11,15,30,505.8407775,6466.699839250004,2404.2165275000016,2984.7180824999973
688,29671-1642694576,1.578107,5.208499,7.162284,10.561376,80,72,87,58,22,17,25,21,505.89323025000004,6106.7855357499975,3400.2530564999993,2365.9086232499985
690,53925-1642697872,1.597836,4.05245,7.800556,13.59769,99,92,81,43,16,25,11,11,505.6130887499999,7508.021593750004,2832.8716757500015,1396.5880877500013
691,77160-1642700970,1.5749900000000001,7.358347,6.432396,7.604884,59,50,45,90,18,4,13,28,505.87534875,4768.7220562500015,3867.38061775,3266.1378362499995
692,2035-1642706205,1.572692,6.755159,6.190173,8.393714,41,55,92,73,6,0,18,26,505.85508274999995,5158.458947000002,3909.8966110000015,2848.0148322499995
693,36872-1642710882,1.5808879999999998,4.564311,7.593812,12.308627,95,81,57,66,31,24,18,14,505.86342825000014,6919.81315475,3139.5924094999996,1804.499626749999
694,78498-1642701139,1.610342,4.020102,10.135063,9.086041,88,91,65,99,24,30,1,27,505.6893825,7065.447570749995,1772.8149905,2831.5854059999997
695,35981-1642710782,1.581359,4.572532,8.811152,9.970362,64,80,75,73,6,27,9,23,505.84793000000013,6760.375501499991,2642.321585750001,2473.723887000001
696,106668-1642704942,1.592111,9.135645,5.957097,5.615174,89,38,82,98,24,16,15,43,505.81335974999996,4123.204944249999,3657.860756499999,3971.468209499999
697,58830-1642698476,1.595859,4.933393,5.79812,13.737535,96,74,100,93,22,3,22,10,505.7847500000002,6279.653309499998,4091.0446607500003,1385.4825495
698,112928-1642705807,1.586207,4.218334,9.522012,10.404216,43,90,41,95,16,8,17,19,505.8038232500001,6919.399499999999,2575.843331750001,2368.692162
699,42649-1642696340,1.58409,5.637487,6.368144,10.052025,49,68,100,80,11,4,31,20,505.70845475000016,5814.914704749995,3675.3022654999995,2371.9012737499993
700,28823-1642709775,1.611571,5.244486,8.44746,8.4391,67,81,89,92,0,9,23,29,505.68819049999996,6069.289444749997,2954.5259487499993,2897.419926749999
702,26963-1642694232,1.583603,4.94997,12.938663,6.659877,77,83,88,96,38,9,6,39,505.66315699999996,6770.722865499998,1432.06119525,3482.0759325000004
703,20301-1642708653,1.5851419999999998,8.490139,5.572042,6.725742,53,43,86,100,15,12,25,34,505.79309400000005,4416.029452250001,3996.7417727499997,3453.1450277500007
704,28831-1642709790,1.69941,5.728693,5.50561,10.780682,14,84,94,58,4,32,39,19,505.2161212500001,5601.927040999997,4008.061887250001,2227.7843950000006
705,93248-1642703142,1.6023640000000001,10.119834,5.825254,5.60972,98,33,42,51,34,1,12,16,505.6202410000002,3815.512657250001,3923.858404999998,4016.0429489999988
706,96742-1642703583,1.58068,9.394695,5.779679,5.778399,51,37,42,80,21,13,5,24,505.76925250000005,4145.536423999993,3871.2131975,3808.8297847499994
707,11295-1642707457,1.602497,6.8957049999999995,6.015261,8.946031,72,77,86,56,3,6,40,27,505.75494799999996,5286.984444999994,3856.5444942500003,2792.9449094999995
709,38609-1642695814,1.588781,5.995023,5.437488,11.500017,68,62,77,77,20,5,22,13,505.70249525000014,5617.2430515,4372.053146,1805.4234982500006
710,56149-1642698118,1.5964459999999998,7.624952,11.060892,4.452547,92,46,16,76,34,18,3,16,505.6941505000001,4656.704663499997,2074.3131647500004,4824.068546
